Id,MSSubClass,MSZoning,LotFrontage,SalePrice
1134,60,RL,80,239500
1135,60,RL,57,169000
1136,30,RM,60,102000
1137,50,RL,80,119000
1138,50,RL,54,94000
1139,20,RL,NA,196000
1140,30,RL,98,144000
1141,20,RL,60,139000
1142,60,RL,NA,197500
1143,60,RL,77,424870
1144,20,RL,NA,80000
1145,190,RL,60,80000
1146,50,RM,52,149000
1147,20,RL,NA,180000
1148,70,RL,75,174500
1149,50,RM,NA,116900
1150,70,RM,50,143000
1151,20,RL,57,124000
1152,20,RL,134,149900
1153,20,RL,90,230000
1154,30,RM,NA,120500
1155,60,RL,NA,201800
1156,20,RL,90,218000
1157,80,RL,85,179900
1158,120,RL,34,230000
1159,20,RL,92,235128
1160,60,RL,76,185000
1161,160,RL,24,146000
1162,20,RL,NA,224000
1163,20,RL,109,129000
1164,90,RL,60,108959
1165,80,RL,NA,194000
1166,20,RL,79,233170
1167,20,RL,64,245350
1168,60,RL,58,173000
1169,70,RL,120,235000
1170,60,RL,118,625000
1171,80,RL,76,171000
1172,20,RL,76,163000
1173,160,FV,35,171900
1174,50,RL,138,200500
1175,70,RL,80,239000
1176,50,RL,85,285000
1177,20,RL,37,119500
1178,50,RM,NA,115000
1179,50,RL,54,154900
1180,20,RL,77,93000
1181,60,RL,NA,250000
1182,120,RM,64,392500
1183,60,RL,160,745000
1184,30,RL,60,120000
1185,20,RL,50,186700
1186,50,RL,60,104900
1187,190,RL,107,95000
1188,20,RL,89,262000
1189,60,RL,68,195000
1190,60,RL,60,189000
1191,190,RL,NA,168000
1192,160,FV,24,174000
1193,50,RM,60,125000
1194,120,RM,NA,165000
1195,60,RL,80,158000
1196,60,RL,51,176000
1197,60,RL,58,219210
1198,75,RM,65,144000
1199,20,RL,70,178000
1200,20,RL,75,148000
1201,20,RL,71,116050
1202,60,RL,80,197900
1203,50,RM,50,117000
1204,20,RL,75,213000
1205,20,RL,78,153500
1206,20,RL,90,271900
1207,20,RH,NA,107000
1208,20,RL,70,200000
1209,20,RL,70,140000
1210,20,RL,85,290000
1211,60,RL,70,189000
1212,50,RL,152,164000
1213,30,RL,50,113000
1214,80,RL,NA,145000
1215,85,RL,69,134500
1216,20,RL,99,125000
1217,90,RM,68,112000
1218,20,FV,72,229456
1219,50,RM,52,80500
1220,160,RM,21,91500
1221,20,RL,66,115000
1222,20,RL,55,134000
1223,50,RL,78,143000
1224,20,RL,89,137900
1225,60,RL,60,184000
1226,80,RL,65,145000
1227,60,RL,86,214000
1228,20,RL,72,147000
1229,120,RL,65,367294
1230,80,RL,70,127000
1231,90,RL,NA,190000
1232,90,RL,70,132500
1233,90,RL,70,101800
1234,20,RL,NA,142000
1235,70,RH,55,130000
1236,70,RL,96,138887
1237,160,RL,36,175500
1238,60,RL,41,195000
1239,20,RL,63,142500
1240,20,RL,64,265900
1241,60,RL,65,224900
1242,20,RL,83,248328
1243,85,RL,85,170000
1244,20,RL,107,465000
1245,70,RL,NA,230000
1246,80,RL,78,178000
1247,60,FV,65,186500
1248,80,RL,NA,169900
1249,75,RM,60,129500
1250,20,RL,60,119000
1251,20,RL,93,244000
1252,120,RL,NA,171750
1253,20,RL,62,130000
1254,60,RL,NA,294000
1255,60,RL,60,165400
1256,50,RM,52,127500
1257,20,RL,91,301500
1258,30,RL,56,99900
1259,80,RL,59,190000
1260,20,RL,65,151000
1261,60,RL,NA,181000
1262,20,RL,80,128900
1263,50,RL,NA,161500
1264,70,RL,60,180500
1265,120,RH,34,181000
1266,160,FV,35,183900
1267,190,RM,60,122000
1268,20,RL,89,378500
1269,50,RL,NA,381000
1270,50,RL,78,144000
1271,40,RL,NA,260000
1272,20,RL,NA,185750
1273,20,RL,NA,137000
1274,80,RL,124,177000
1275,50,RL,53,139000
1276,90,RL,95,137000
1277,60,RL,NA,162000
1278,80,RL,NA,197900
1279,60,RL,75,237000
1280,50,C (all),60,68400
1281,20,RL,67,227000
1282,20,RL,50,180000
1283,20,RL,61,150500
1284,90,RL,94,139000
1285,50,RL,50,169000
1286,50,RM,50,132500
1287,20,RL,NA,143000
1288,20,RL,NA,190000
1289,120,RL,40,278000
1290,60,RL,86,281000
1291,80,RL,NA,180500
1292,160,RM,21,119500
1293,70,RM,60,107500
1294,60,RL,78,162900
1295,20,RL,60,115000
1296,20,RL,70,138500
1297,20,RL,80,155000
1298,180,RM,35,140000
1299,60,RL,313,160000
1300,20,RL,75,154000
1301,60,RL,NA,225000
1302,70,RL,NA,177500
1303,60,RL,92,290000
1304,20,RL,73,232000
1305,160,RM,32,130000
1306,20,RL,108,325000
1307,120,RL,48,202500
1308,20,RL,60,138000
1309,20,RM,100,147000
1310,20,RL,NA,179200
1311,20,RL,100,335000
1312,20,RL,68,203000
1313,60,RL,NA,302000
1314,60,RL,108,333168
1315,20,RL,60,119000
1316,60,RL,85,206900
1317,20,RL,61,295493
1318,120,FV,47,208900
1319,20,RL,NA,275000
1320,20,RL,75,111000
1321,20,RL,70,156500
1322,20,RL,NA,72500
1323,60,RL,107,190000
1324,30,RL,50,82500
1325,20,RL,75,147000
1326,30,RM,40,55000
1327,30,RH,70,79000
1328,20,RL,60,130500
1329,50,RM,60,256000
1330,60,RL,63,176500
1331,20,RL,85,227000
1332,80,RL,55,132500
1333,20,RL,67,100000
1334,50,RM,60,125500
1335,160,RM,24,125000
1336,20,RL,80,167900
1337,90,RL,87,135000
1338,30,RM,153,52500
1339,60,RL,95,200000
1340,20,RL,120,128500
1341,20,RL,70,123000
1342,20,RL,66,155000
1343,60,RL,NA,228500
1344,50,RL,57,177000
1345,60,RL,85,155835
1346,30,RM,50,108500
1347,20,RL,NA,262500
1348,20,RL,93,283463
1349,20,RL,NA,215000
1350,70,RM,50,122000
1351,90,RL,91,200000
1352,60,RL,70,171000
1353,50,RM,50,134900
1354,50,RL,56,410000
1355,60,RL,NA,235000
1356,80,RL,102,170000
1357,20,RL,NA,110000
1358,20,RL,NA,149900
1359,160,FV,NA,177500
1360,20,RL,129,315000
1361,70,RL,51,189000
1362,20,RL,124,260000
1363,50,RL,NA,104900
1364,60,RL,73,156932
1365,160,FV,30,144152
1366,60,FV,NA,216000
1367,60,RL,68,193000
1368,160,RM,41,127000
1369,120,RM,NA,144000
1370,20,RL,48,232000
1371,50,RL,90,105000
1372,80,RL,80,165500
1373,60,RL,75,274300
1374,20,RL,NA,466500
1375,60,FV,85,250000
1376,20,RL,89,239000
1377,30,RL,52,91000
1378,50,RL,60,117000
1379,160,RM,21,83000
1380,80,RL,73,167500
1381,30,RL,45,58500
1382,20,RL,NA,237500
1383,70,RM,60,157000
1384,30,RL,NA,112000
1385,50,RL,60,105000
1386,50,RM,40,125500
1387,60,RL,80,250000
1388,50,RM,60,136000
1389,20,RL,42,377500
1390,50,RM,60,131000
1391,20,RL,70,235000
1392,90,RL,65,124000
1393,85,RL,68,123000
1394,190,RM,60,163000
1395,120,RL,53,246578
1396,60,RL,88,281213
1397,20,RL,NA,160000
1398,70,RM,51,137500
1399,50,RL,60,138000
1400,50,RL,51,137450
1401,50,RM,50,120000
1402,60,RL,62,193000
1403,20,RL,64,193879
1404,20,RL,49,282922
1405,50,RL,60,105000
1406,120,RM,44,275000
1407,85,RL,70,133000
1408,20,RL,NA,112000
1409,70,RM,60,125500
1410,60,RL,46,215000
1411,60,RL,79,230000
1412,50,RL,80,140000
1413,90,RL,60,90000
1414,20,RL,88,257000
1415,50,RL,64,207000
1416,120,RL,51,175900
1417,190,RM,60,122500
1418,60,RL,NA,340000
1419,20,RL,71,124000
1420,20,RL,NA,223000
1421,60,RL,90,179900
1422,120,RL,53,127500
1423,120,RM,37,136500
1424,80,RL,NA,274970
1425,20,RL,NA,144000
1426,20,RL,80,142000
1427,60,RL,81,271000
1428,50,RL,60,140000
1429,30,RM,60,119000
1430,20,RL,NA,182900
1431,60,RL,60,192140
1432,120,RL,NA,143750
1433,30,RL,60,64500
1434,60,RL,93,186500
1435,20,RL,80,160000
1436,20,RL,80,174000
1437,20,RL,60,120500
1438,20,RL,96,394617
1439,20,RM,90,149700
1440,60,RL,80,197000
1441,70,RL,79,191000
1442,120,RM,NA,149300
1443,60,FV,85,310000
1444,30,RL,NA,121000
1445,20,RL,63,179600
1446,85,RL,70,129000
1447,20,RL,NA,157900
1448,60,RL,80,240000
1449,50,RL,70,112000
1450,180,RM,21,92000
1451,90,RL,60,136000
1452,20,RL,78,287090
1453,180,RM,35,145000
1454,20,RL,90,84500
1455,20,FV,62,185000
1456,60,RL,62,175000
1457,20,RL,85,210000
1458,70,RL,66,266500
1459,20,RL,68,142125
1460,20,RL,75,147500
